Input Type,n,Algorithm,Avg_Time,Min_Time,Max_Time,Avg_Comparisons,Avg_Swaps_Data_Movements,Avg_Recursive_Calls,Avg_Max_Recursion_Depth,Avg_Peak_Memory_Bytes,Avg_Constant_c
sorted,500,Quick Sort,0.4401918299961835,0.33376029995270073,0.6941904000705108,124750.0,0.0,999.0,500.0,43131.2,9.819371424075566e-05
sorted,600,Heap Sort,0.06183197997743264,0.029756999923847616,0.2108878999715671,9693.0,5404.0,5704.0,10.0,20448.8,1.1166467065661952e-05
sorted,600,Merge Sort,0.06584806002210826,0.017317900084890425,0.41666550002992153,2660.0,5576.0,1199.0,11.0,46380.8,1.189174588688521e-05
sorted,600,Quick Sort,1.8449344799853862,0.6644808000419289,4.080420800019056,179700.0,0.0,1199.0,600.0,68193.5,0.0003331835745285862
sorted,700,Heap Sort,0.07924415002344176,0.04030230001080781,0.1852912000613287,11674.0,6488.0,6838.0,10.0,6374.4,1.1977928253363214e-05
sorted,700,Merge Sort,0.042623590014409275,0.01979849999770522,0.0979081999976188,3172.0,6676.0,1399.0,11.0,19344.0,6.442649746919312e-06
sorted,700,Quick Sort,2.358070399996359,1.041057200054638,4.134904299979098,244650.0,0.0,1399.0,700.0,108385.4,0.00035642754776447964
sorted,800,Heap Sort,0.06326201999327168,0.04348210000898689,0.14684649999253452,13639.0,7554.0,7954.0,10.0,7174.4,8.199782683967709e-06
sorted,800,Merge Sort,0.02841928000561893,0.021596300066448748,0.053522299975156784,3728.0,7776.0,1599.0,11.0,21712.0,3.6835991026794323e-06
sorted,800,Quick Sort,1.588716919987928,1.5023256000131369,1.7221395999658853,319600.0,0.0,1599.0,800.0,89247.2,0.00020592345125288516
sorted,900,Heap Sort,0.06047054000664502,0.051655099960044026,0.09821930003818125,15609.0,8626.0,9076.0,10.0,22816.0,6.846442526801422e-06
sorted,900,Merge Sort,0.027180769992992283,0.024437200045213103,0.029864500043913722,4304.0,8876.0,1799.0,11.0,24304.0,3.0773923892655997e-06
sorted,900,Quick Sort,2.321525749983266,2.218694300041534,2.6316081000259146,404550.0,0.0,1799.0,900.0,114368.7,0.00026284191641092353
sorted,1000,Heap Sort,0.06394849000498652,0.05917090002913028,0.07913520000874996,17583.0,9708.0,10208.0,10.0,23700.0,6.416804556306412e-06
sorted,1000,Merge Sort,0.033576200006064025,0.02870279992930591,0.046713999938219786,4932.0,9976.0,1999.0,11.0,27152.0,3.3691477807461396e-06
sorted,1000,Quick Sort,3.157042819983326,3.0813429000554606,3.250649999943562,499500.0,0.0,1999.0,1000.0,139689.4,0.00031678819547019453
